id,label,score
4dec01352c438b9f629930c6d6fe75a5,0,3.2910295
d1652ae0f833fd8a0a7db716b67a9512,0,3.2845373
3d5c0aee19a3b1e9c13916fd7b4151c9,0,3.2915323
d0a60214e37249c7ae0bd25d25a2b502,0,3.221607
eade28ac3995ef03131fa38cdffbd7b6,0,3.2681115
2dc265088a6579d953018c84d6186389,0,3.1202126
b1f371353a02c3a197ca0b492e90eeec,0,3.2275555
28e413a50fc0764d55f1abd1a7186948,0,3.3407524
5a4512eba3bca7061499337136c583a2,0,3.3376088
336d922290371707ea398536278d6d28,0,3.32448
93ca0fc2c292c1027236d6a9ec4150cb,0,3.3302712
9abe91b3de2010fe7989ffe28f98f81a,0,3.3359382
b1d229ae2b61e69d1b31df92fe54ddf4,0,3.161512
b26399865f9831363fecc38fe592b7d6,0,3.334545
90198303a332471bcd2b8d96f1610ce2,0,3.3336802
8d6b7468f57d1df6fff6c5e93fe51960,0,3.3648446
5593d2b9544e734e94ff9d8e68d05dea,0,3.2737083
1132db604d0ad4d846b4434e00e5e5c2,0,3.295188
3e89898b6aee18512d93e5b3f447d9ad,0,3.1941848
21fd5f568b41d53fe5cc389ee69b0c93,0,3.3325396
6a875ae493408ec1c04387583edbb243,0,3.3242128
97f0f3cdd1ea706945647ab48d67886c,0,3.2775698
b4c4acc3ba9f2188ebf7cbcd6c4a51ce,0,3.3329024
129c1a194570086f0274685897c88425,0,3.3385727
e5c5d0b6141e7d4bbd3eae6b8ff47c,0,3.33247
614be58f5b9324acbe9123143897abd,0,3.3297045
6a305301988795209650809d4ff1d2e9,0,3.3631883
3f71a9a80329a8ef7799d334d8215ffd,0,3.3285463
a4bd973aedf024191a135d303805b463,0,3.3265016
55e6487757bd4d42da098b18cc79ac0d,0,3.327298
1333901fc793b3ce8d390135812677f9,0,3.2789366
168f61425da2614e14f0fbe4800f523a,0,3.3265233
4590cd6387ecbadd5178b8e15e95f610,0,3.2567022
66e837f18eea90ab6b07953cb729478f,0,3.2742872
517b947cf09221459bd6841010aa58f9,0,3.224652
81bd1606404d7ea2101f6ab30351251,0,3.351799
5f0e60d2fbf31251bf324dbafe7500a2,0,3.321147
28dec6eff4f7a93c9947993eb206ce92,0,3.3307505
e740b38f4cc50b847775778cd92328c5,0,3.33116
8b89a6077bafd2a8b001f359e1112c59,0,3.33126
7ba9ded9f77ee2fd8cb0849241a1bd8,0,3.1863792
d0f4b5ec979c94e27e8ce80ab18876b1,0,1.4147415
43d8b258e5fd0ab26d85b7b3ba7f3e9b,0,2.68967
c23577af85fd0b2cb06d1483bfaab65d,0,3.354088
deea87c8b70bc80991b1b27f7a58fd0a,0,3.3389587
aec3e0450560f8bc70aee71822c817f5,0,2.68985
29df24e23b89153e7c8efa87b3438898,0,3.3281493
9ce0e046c728c36577e691910799a7da,0,3.1158845
c894c63e59e58a08a2d1cfd066be24e7,0,3.2972875
4f728cf7bdfc1bff1a8558b4f8226596,0,3.3343818
f3acf7eca03f1b04760bebb0f28614da,0,3.3332577
419c202d5096cea29daf7720273f608b,0,3.3226852
c5979f002079d9ca3dfae45db3ea92b9,0,3.3286977
eb2fa6380d9b80797a68a336b6a4c2e0,0,3.347411
b6322c400fc99f54e669419a88b186a1,0,3.331934
3a6ca544ee0c3e68b23ef5c9011212b,0,3.3205516
65071baa980a1e979417fbc8f6c269c7,0,3.3331075
c29360dec71f54b4cfb6c92ac77445e0,0,3.3321893
71a2fa5de0a5ecde1437acf1cfe97cd4,0,3.327057
f24dc0d02efd1f53f3721e20cdea38b0,0,3.325983
7998398c01d28cb03904ae41b6e98893,0,1.6600618
f11f144ccde7dd46323ae4bdfa33bc79,0,3.3648431
f8f0cc49843be522bb4172ffeaa43466,0,3.3452942
2845c850ee61cd01b0ce4fe054aa11e3,0,3.336357
b8c1b72dae324a1e6aef02e307a2a3c9,0,2.0158594
95eb2b8f5500084eabed0e578d58e10f,0,3.2842596
60f372e5b9d17bbd5c4cebe9c0ee7f91,0,1.4975903
5f066f160654ceac1b63a6c405031f7b,0,3.2902098
1487ae7abd9323dc526ce8fee31baefd,0,3.316255
45598610abf365f3f77a452431769bb3,0,3.3034468
3a129ed42d1df3447d77889d0c5ee70f,0,3.301858
9415352867409d83beba77ff41bec86a,0,3.350764
bb14ee192de70ad006be5988dad83395,0,2.8096807
3f9e107eb3d5d9cb9f5e88c884f597f9,0,3.3448584
d75e11b5640645c5578a2fb7166ad25b,0,3.2925918
84e07c0a73ca433621a990f0476cacd5,0,3.349088
1dffa7ac50dd55702c274d01b1b808b0,0,1.7614495
5711c36d701e5ef020d24fbe8c3e087c,0,3.3345547
91b6975469878c14d3f7fa494c156e,0,3.1280048
9f7d810684bafd147988fec3a9188ce9,0,2.088679
7659c23f6f6c342c3d9251c50e7073b4,0,3.330936
aab887d6b7be1c6c2743084b98a790ab,0,3.3190465
8aaff9c8b2f7e73b62165586fc552176,0,3.2683532
3637cea9e92c5af4c9f662313fe7d6a6,0,3.3541346
8b5054b41782f9b659ced870483d249f,0,3.2646618
6c8cd0521e33f475bb3696d42042b384,0,3.2891622
6fe7a3e4ddc361d5f719f01b28b14c98,0,3.3482678
54ffc30e75526e1398b2d7bd60f75533,0,3.2867522
319a091dc02c93a03250843465cc7d65,0,1.7398756
e6953e411a5ebe179ccb5b23096877ab,0,3.28374
